51.9536780	6.3174019	Rekhemseweg	7004GL	20
51.9500487	6.3141703	Rozenstraat	7004CE	20
51.9502278	6.3091699	Sniplaan	7004BN	20
51.9486654	6.3104633	Tulpenstraat	7004DJ	20
51.9518754	6.3099876	Zonneplein	7004EL	20
51.9520130	6.3112353	Acacialaan	7004AW	200
51.9499266	6.3074331	Oude Terborgseweg	7004DW	201
51.9519626	6.3114195	Acacialaan	7004AW	202
51.9508587	6.3059097	Oude Terborgseweg	7004KA	202
51.9497762	6.3074840	Oude Terborgseweg	7004DW	203
51.9494213	6.3075602	Oude Terborgseweg	7004DX	207
51.9492362	6.3075080	Oude Terborgseweg	7004DX	207A
51.9503574	6.3065258	Oude Terborgseweg	7004KA	208
51.9501590	6.3064839	Oude Terborgseweg	7004KA	208A
51.9491019	6.3075025	Oude Terborgseweg	7004DX	209
51.9491234	6.3079667	Oude Terborgseweg	7004DX	209A
51.9500067	6.3123857	Klaproosstraat	7004EH	20A
51.9570343	6.3180501	Badweg	7004GV	21
51.9503587	6.3102472	Dennenweg	7004BP	21
51.9569632	6.3020282	Frans Halsweg	7004AA	21
51.9506586	6.3136035	Klaproosstraat	7004EG	21
51.9490284	6.3094203	Leliestraat	7004CN	21
51.9527300	6.3068747	Meester Lovinklaan	7004BG	21
51.9497179	6.3143463	Papaverstraat	7004CH	21
51.9521900	6.3065142	Reigerlaan	7004BS	21
51.9541573	6.3184637	Rekhemseweg	7004HA	21
51.9490357	6.3114471	Tulpenstraat	7004DD	21
51.9500678	6.3068310	Oude Terborgseweg	7004KA	210
51.9489011	6.3078357	Oude Terborgseweg	7004DX	211
51.9495141	6.3069657	Oude Terborgseweg	7004KA	218
51.9512886	6.3122028	Asterstraat	7004BV	22
51.9552226	6.3180562	Badweg	7004GV	22
51.9493071	6.3099937	Begoniastraat	7004CL	22
51.9577721	6.2989086	Charley Tooropstraat	7004AS	22
51.9508613	6.3115878	Dennenweg	7004BT	22
51.9521204	6.3161122	Duikerstraat	7004LC	22
51.9569648	6.3015516	Frans Halsweg	7004AB	22
51.9561550	6.3061223	Kastanjelaan	7004AK	22
51.9499994	6.3128164	Klaproosstraat	7004EH	22
51.9480789	6.3090489	Leliestraat	7004CS	22
51.9494326	6.3142518	Papaverstraat	7004CJ	22
51.9500900	6.3142299	Rozenstraat	7004CE	22
51.9486098	6.3104393	Tulpenstraat	7004DJ	22
51.9518755	6.3099874	Zonneplein	7004EL	22
51.9492714	6.3067735	Oude Terborgseweg	7004KA	220
51.9491993	6.3067078	Oude Terborgseweg	7004KA	220A
51.9490436	6.3069853	Oude Terborgseweg	7004KA	222
51.9547393	6.3044582	Acacialaan	7004AM	23
51.9507431	6.3106905	Dennenweg	7004BR	23
51.9568578	6.3021659	Frans Halsweg	7004AA	23
51.9490422	6.3093318	Leliestraat	7004CN	23
51.9526885	6.3069532	Meester Lovinklaan	7004BG	23
51.9497420	6.3144130	Papaverstraat	7004CH	23
51.9522406	6.3065879	Reigerlaan	7004BS	23
51.9541278	6.3185840	Rekhemseweg	7004HA	23
51.9490226	6.3115290	Tulpenstraat	7004DD	23
